employee_id,month,active_days,logins,docs_created,docs_opened,docs_edited,searches,emails_filed,mobile_sessions,avg_search_latency_ms
VL-1001,2024-03,7,10,14,76,25,32,29,0,425
VL-1001,2024-04,9,14,11,117,16,41,74,0,505
VL-1001,2024-05,11,13,23,152,34,62,34,5,524
VL-1001,2024-06,6,9,11,64,17,28,39,2,380
VL-1001,2024-07,10,12,13,105,25,66,41,3,475
VL-1001,2024-08,5,7,8,47,12,28,40,2,461
VL-1001,2024-09,8,11,8,76,15,46,40,2,489
VL-1001,2024-10,7,12,17,99,25,48,45,3,578
VL-1001,2024-11,5,9,7,63,10,16,25,0,460
VL-1001,2024-12,6,8,9,82,11,22,33,2,503
VL-1001,2025-01,7,8,12,63,18,24,36,0,587
VL-1001,2025-02,8,14,6,70,11,43,58,0,445
VL-1001,2025-03,11,17,25,139,40,39,96,3,407
VL-1001,2025-04,6,7,6,52,11,39,39,2,444
VL-1001,2025-05,9,11,15,110,29,43,56,5,510
VL-1001,2025-06,9,15,19,98,32,27,49,3,490
VL-1001,2025-07,5,7,8,52,13,33,20,3,458
VL-1001,2025-08,11,20,17,130,23,55,77,0,483
VL-1001,2025-09,9,12,22,131,36,55,65,4,502
VL-1001,2025-10,9,14,11,88,19,45,29,4,532
VL-1001,2025-11,7,8,12,69,17,38,21,1,669
VL-1001,2025-12,8,13,12,71,19,31,68,0,495
VL-1001,2026-01,7,10,15,99,25,44,21,4,441
VL-1001,2026-02,5,6,5,52,6,31,16,1,471
VL-1001,2026-03,9,17,12,96,23,54,71,6,1408
VL-1001,2026-04,8,12,13,105,18,54,69,2,494
VL-1001,2026-05,9,15,12,107,22,44,72,3,461
VL-1001,2026-06,9,13,13,95,24,57,37,2,458
VL-1001,2026-07,10,14,9,93,16,58,78,4,493
VL-1001,2026-08,7,8,9,95,16,44,38,1,540
VL-1216,2025-06,10,13,18,133,32,80,167,3,478
VL-1216,2025-07,8,14,11,124,17,47,167,1,520
VL-1216,2025-08,9,17,17,194,26,39,94,0,457
VL-1216,2025-09,12,16,21,182,34,88,106,4,529
VL-1216,2025-10,8,11,30,184,52,53,56,1,493
VL-1216,2025-11,9,11,23,200,31,67,173,3,601
VL-1216,2025-12,11,14,19,143,25,41,151,2,542
VL-1216,2026-01,8,9,13,118,25,55,162,2,493
VL-1216,2026-02,9,14,19,169,31,54,68,0,472
VL-1216,2026-03,10,14,32,232,61,81,133,3,1465
VL-1216,2026-04,11,17,16,185,22,52,186,3,540
VL-1216,2026-05,9,16,22,147,41,52,137,0,462
VL-1216,2026-06,11,21,28,178,43,64,218,3,471
VL-1216,2026-07,10,16,19,142,33,45,187,3,384
VL-1216,2026-08,12,22,15,173,29,73,103,1,523
VL-1217,2024-03,22,32,48,473,69,129,356,3,456
VL-1217,2024-04,16,27,21,228,30,133,173,5,485
VL-1217,2024-05,18,22,31,411,53,73,311,4,494
VL-1217,2024-06,11,20,23,228,32,70,201,3,515
VL-1217,2024-07,15,29,33,336,43,122,262,1,528
VL-1217,2024-08,13,15,33,242,47,82,239,4,453
VL-1217,2024-09,21,34,34,387,64,138,245,3,468
VL-1217,2024-10,15,27,41,327,67,74,294,1,412
VL-1217,2024-11,13,18,24,285,34,109,227,0,477
VL-1217,2024-12,13,23,36,234,62,106,145,1,486
VL-1217,2025-01,11,20,26,205,32,63,208,4,396
VL-1217,2025-02,22,29,49,299,83,117,435,1,505
VL-1217,2025-03,22,30,52,399,96,170,197,2,524
VL-1217,2025-04,19,29,52,315,86,127,367,0,503
VL-1217,2025-05,16,28,33,218,59,92,118,1,429
VL-1217,2025-06,15,29,51,349,82,73,173,2,486
VL-1217,2025-07,9,12,23,181,33,66,164,0,426
VL-1217,2025-08,16,21,23,255,33,90,172,1,562
VL-1217,2025-09,18,33,26,230,40,86,272,3,445
VL-1217,2025-10,21,26,52,458,86,96,232,0,501
VL-1217,2025-11,17,27,50,333,61,83,152,3,644
VL-1217,2025-12,14,21,36,250,70,72,167,2,461
VL-1217,2026-01,16,19,36,285,63,68,235,3,446
VL-1217,2026-02,11,17,21,240,39,77,103,3,447
VL-1217,2026-03,14,25,27,229,40,106,148,2,1300
VL-1217,2026-04,15,25,26,242,37,91,308,1,568
VL-1217,2026-05,7,12,21,132,27,44,143,0,494
VL-1217,2026-06,22,27,57,506,102,105,282,8,450
VL-1217,2026-07,16,22,24,254,29,133,231,1,500
VL-1217,2026-08,17,23,22,258,30,62,310,4,457
VL-1002,2024-03,11,19,10,108,16,66,42,8,505
VL-1002,2024-04,12,22,21,178,37,51,106,6,456
VL-1002,2024-05,12,19,15,104,22,62,38,7,444
VL-1002,2024-06,15,24,25,196,47,52,71,1,411
VL-1002,2024-07,8,12,10,77,16,27,65,2,501
VL-1002,2024-08,12,23,17,157,32,66,78,0,525
VL-1002,2024-09,10,16,25,143,35,40,45,2,480
VL-1002,2024-10,7,10,13,107,24,22,35,5,419
VL-1002,2024-11,7,9,14,73,17,24,43,2,519
VL-1002,2024-12,10,17,18,115,25,61,32,6,576
VL-1002,2025-01,10,18,29,147,45,36,78,6,469
VL-1002,2025-02,13,20,22,159,42,54,65,8,440
VL-1002,2025-03,13,23,23,170,41,39,56,0,563
VL-1002,2025-04,10,13,12,141,15,32,62,1,521
VL-1002,2025-05,13,16,16,153,24,58,63,4,441
VL-1002,2025-06,11,21,25,156,46,46,54,5,484
VL-1002,2025-07,10,12,19,130,24,38,55,1,513
VL-1002,2025-08,10,15,22,126,34,68,46,7,458
VL-1002,2025-09,14,21,25,202,41,83,42,6,478
VL-1002,2025-10,14,17,29,186,50,55,124,1,445
VL-1002,2025-11,16,30,26,135,39,83,78,11,621
VL-1002,2025-12,6,10,7,77,11,39,26,0,496
VL-1002,2026-01,12,20,25,133,42,42,62,6,493
VL-1002,2026-02,9,17,21,109,26,36,31,6,542
VL-1002,2026-03,10,18,28,138,52,59,50,6,1393
VL-1002,2026-04,12,16,36,186,53,59,100,7,443
VL-1002,2026-05,12,21,14,105,17,83,49,5,446
VL-1002,2026-06,10,13,23,134,38,44,40,2,471
VL-1002,2026-07,9,12,12,127,21,60,78,6,492
VL-1002,2026-08,9,15,16,135,21,50,66,1,492
VL-1010,2024-03,12,22,21,184,25,80,40,0,628
VL-1010,2024-04,7,9,16,100,24,36,43,3,590
VL-1010,2024-05,10,19,20,108,28,32,35,1,664
VL-1010,2024-06,13,16,33,184,61,89,85,6,601
VL-1010,2024-07,13,21,17,113,22,90,72,6,633
VL-1010,2024-08,4,5,5,45,7,13,22,2,597
VL-1010,2024-09,12,16,17,109,22,59,72,1,593
VL-1010,2024-10,12,16,11,105,20,46,74,7,562
VL-1010,2024-11,10,16,29,154,49,68,55,5,604
VL-1010,2024-12,10,18,20,148,26,63,51,4,563
VL-1010,2025-01,15,24,23,175,41,101,105,8,712
VL-1010,2025-02,9,16,20,123,30,44,49,4,606
VL-1010,2025-03,9,16,18,124,26,53,37,3,568
VL-1010,2025-04,5,8,7,58,13,24,27,3,615
VL-1010,2025-05,11,15,24,135,30,49,95,6,647
VL-1010,2025-06,7,10,15,87,19,22,39,5,613
VL-1010,2025-07,17,20,39,193,58,107,107,2,561
VL-1010,2025-08,11,17,22,110,31,75,37,5,601
VL-1010,2025-09,10,15,21,108,27,30,70,0,641
VL-1010,2025-10,13,19,14,147,25,39,104,9,597
VL-1010,2025-11,9,16,9,91,17,58,78,4,783
VL-1010,2025-12,11,20,22,161,42,51,60,3,544
VL-1010,2026-01,13,16,22,158,43,76,106,6,550
VL-1010,2026-02,9,15,9,103,15,35,33,5,658
VL-1010,2026-03,13,24,25,168,38,65,64,10,1521
VL-1010,2026-04,9,11,25,137,49,51,73,1,602
