ticket_id,opened_at,category,priority,requester_employee_id,requester_office,first_response_hours,resolution_hours,status,notes
ARC-30047,2024-03-01T11:11:00,Filing error,P3,VL-1017,New York,2.4,24.4,Resolved,
ARC-30025,2024-03-01T15:27:00,Mobile,P2,VL-1084,Los Angeles,0.9,51.6,Resolved,Workaround provided
ARC-30028,2024-03-02T13:08:00,How-to,P3,VL-1144,Houston,2.4,42.4,Resolved,
ARC-30043,2024-03-02T17:42:00,Search,P3,VL-1155,Chicago,2.4,4.0,Resolved,
ARC-30024,2024-03-03T08:22:00,Search,P3,VL-1051,San Francisco,1.6,13.0,Resolved,
ARC-30048,2024-03-04T09:54:00,How-to,P2,VL-1072,London,2.0,2.5,Resolved,Workaround provided
ARC-30033,2024-03-04T11:13:00,Search,P2,VL-1068,Mexico City,2.0,50.1,Resolved,Escalated to account manager
ARC-30049,2024-03-04T18:02:00,Performance,P2,VL-1060,Houston,2.0,46.9,Resolved,
ARC-30022,2024-03-06T08:10:00,Mobile,P2,VL-1157,San Francisco,3.7,30.7,Resolved,Escalated to account manager
ARC-30018,2024-03-06T10:24:00,Access / SSO,P3,VL-1139,New York,1.7,55.7,Resolved,
ARC-30038,2024-03-06T18:47:00,Mobile,P3,VL-1197,"Washington, DC",2.2,23.9,Resolved,
ARC-30032,2024-03-07T08:12:00,How-to,P2,VL-1171,New York,2.3,21.3,Resolved,
ARC-30020,2024-03-07T13:47:00,Search,P4,VL-1048,New York,1.7,33.1,Resolved,
ARC-30030,2024-03-07T14:24:00,How-to,P3,VL-1028,"Washington, DC",3.7,52.9,Resolved,
ARC-30036,2024-03-09T17:15:00,Access / SSO,P4,VL-1124,Chicago,0.9,61.6,Resolved,
ARC-30016,2024-03-11T15:15:00,Access / SSO,P3,VL-1102,San Francisco,1.8,26.5,Resolved,
ARC-30052,2024-03-12T09:35:00,How-to,P3,VL-1102,San Francisco,2.5,15.7,Resolved,
ARC-30023,2024-03-12T14:26:00,How-to,P3,VL-1152,Chicago,1.6,45.7,Resolved,
ARC-30019,2024-03-15T13:15:00,Mobile,P3,VL-1028,"Washington, DC",1.4,19.3,Resolved,
ARC-30021,2024-03-17T12:27:00,Performance,P4,VL-1032,New York,1.3,39.8,Resolved,
ARC-30014,2024-03-18T16:14:00,Search,P3,VL-1008,New York,0.6,47.9,Resolved,
ARC-30045,2024-03-19T16:46:00,Outlook add-in,P4,VL-1157,San Francisco,2.3,79.3,Resolved,
ARC-30026,2024-03-19T17:40:00,Outlook add-in,P4,VL-1193,Los Angeles,1.9,43.2,Resolved,
ARC-30015,2024-03-20T12:04:00,Performance,P4,VL-1230,New York,0.7,35.7,Resolved,
ARC-30039,2024-03-20T12:18:00,How-to,P3,VL-1117,"Washington, DC",2.5,58.8,Resolved,
ARC-30037,2024-03-20T14:33:00,Outlook add-in,P2,VL-1122,New York,0.4,21.1,Resolved,
ARC-30050,2024-03-21T13:24:00,Search,P4,VL-1193,Los Angeles,2.3,61.0,Resolved,
ARC-30029,2024-03-21T17:48:00,Search,P3,VL-1225,New York,2.1,47.7,Resolved,
ARC-30044,2024-03-22T11:25:00,Mobile,P3,VL-1135,New York,4.0,39.5,Resolved,
ARC-30042,2024-03-22T11:59:00,How-to,P2,VL-1088,"Washington, DC",0.8,1.3,Resolved,
ARC-30035,2024-03-22T18:50:00,Search,P3,VL-1035,New York,2.0,2.5,Resolved,
ARC-30034,2024-03-23T17:01:00,Search,P3,VL-1052,New York,2.2,62.8,Resolved,
ARC-30051,2024-03-24T15:52:00,How-to,P2,VL-1079,New York,1.6,9.0,Resolved,Workaround provided
ARC-30017,2024-03-24T18:07:00,Outlook add-in,P2,VL-1134,New York,1.7,8.9,Resolved,Workaround provided
ARC-30013,2024-03-25T13:03:00,Mobile,P3,VL-1122,New York,2.1,25.9,Resolved,
ARC-30012,2024-03-26T13:37:00,How-to,P3,VL-1150,New York,1.6,42.6,Resolved,
ARC-30046,2024-03-26T16:49:00,Filing error,P3,VL-1224,New York,1.8,28.2,Resolved,
ARC-30027,2024-03-26T17:17:00,Integration,P4,VL-1189,Mexico City,1.9,31.9,Resolved,
ARC-30041,2024-03-27T15:08:00,Access / SSO,P3,VL-1192,New York,1.8,36.7,Resolved,
ARC-30011,2024-03-27T17:16:00,Outlook add-in,P2,VL-1057,Chicago,1.3,1.8,Resolved,Escalated to account manager
ARC-30031,2024-03-27T18:38:00,Mobile,P2,VL-1157,San Francisco,2.3,2.8,Resolved,
ARC-30040,2024-03-28T15:13:00,Filing error,P4,VL-1135,New York,1.2,70.5,Resolved,
ARC-30147,2024-04-01T08:23:00,Search,P3,VL-1194,Chicago,1.8,35.2,Resolved,
ARC-30143,2024-04-01T09:52:00,How-to,P3,VL-1200,New York,2.7,47.3,Resolved,
ARC-30162,2024-04-01T10:15:00,Performance,P2,VL-1100,New York,0.5,20.5,Resolved,Escalated to account manager
ARC-30098,2024-04-01T10:22:00,Outlook add-in,P4,VL-1224,New York,1.1,53.7,Resolved,
ARC-30106,2024-04-01T10:24:00,How-to,P2,VL-1063,New York,2.0,44.3,Resolved,
ARC-30125,2024-04-01T12:36:00,Mobile,P3,VL-1135,New York,1.3,25.5,Resolved,
ARC-30079,2024-04-01T14:05:00,Access / SSO,P4,VL-1150,New York,1.5,68.2,Resolved,
ARC-30126,2024-04-01T17:05:00,Performance,P3,VL-1009,New York,2.8,16.9,Resolved,
ARC-30117,2024-04-01T17:39:00,Performance,P4,VL-1230,New York,2.9,65.7,Resolved,
ARC-30087,2024-04-02T09:25:00,Search,P4,VL-1109,Dublin,1.6,29.6,Resolved,
ARC-30136,2024-04-02T11:08:00,Mobile,P4,VL-1012,Singapore,1.3,38.9,Resolved,
ARC-30170,2024-04-02T11:33:00,Search,P4,VL-1035,New York,3.2,38.0,Resolved,
ARC-30131,2024-04-02T11:34:00,Integration,P3,VL-1036,Houston,3.0,26.0,Resolved,
ARC-30095,2024-04-02T14:11:00,Integration,P3,VL-1117,"Washington, DC",0.9,8.5,Resolved,
ARC-30110,2024-04-02T14:51:00,How-to,P4,VL-1199,Chicago,1.3,42.8,Resolved,
ARC-30163,2024-04-02T15:33:00,Access / SSO,P2,VL-1038,New York,1.3,6.8,Resolved,Workaround provided
ARC-30080,2024-04-02T17:41:00,Performance,P4,VL-1147,New York,1.6,68.9,Resolved,
ARC-30070,2024-04-03T08:08:00,How-to,P4,VL-1060,Houston,1.9,60.1,Resolved,
ARC-30130,2024-04-03T13:02:00,Outlook add-in,P2,VL-1068,Mexico City,2.5,12.0,Resolved,Workaround provided
ARC-30065,2024-04-03T14:15:00,Access / SSO,P3,VL-1139,New York,2.2,33.2,Resolved,
ARC-30075,2024-04-03T17:58:00,How-to,P3,VL-1093,New York,2.3,22.2,Resolved,
ARC-30084,2024-04-03T18:33:00,Outlook add-in,P4,VL-1050,New York,1.9,54.3,Resolved,
ARC-30061,2024-04-04T10:11:00,Performance,P2,VL-1164,New York,0.2,9.6,Resolved,Escalated to account manager
ARC-30102,2024-04-04T12:42:00,Access / SSO,P3,VL-1174,New York,1.9,75.5,Resolved,
ARC-30086,2024-04-04T16:56:00,How-to,P3,VL-1109,Dublin,0.6,25.9,Resolved,
ARC-30158,2024-04-05T10:30:00,How-to,P3,VL-1053,New York,2.6,14.6,Resolved,
ARC-30071,2024-04-05T14:03:00,How-to,P2,VL-1080,Houston,2.0,24.8,Resolved,Escalated to account manager
ARC-30168,2024-04-05T14:17:00,How-to,P2,VL-1218,New York,2.0,23.2,Resolved,
ARC-30112,2024-04-05T15:10:00,Access / SSO,P3,VL-1140,Atlanta,2.3,43.6,Resolved,
ARC-30120,2024-04-06T09:18:00,How-to,P3,VL-1213,"Washington, DC",2.8,19.4,Resolved,
ARC-30076,2024-04-06T09:28:00,Search,P3,VL-1096,New York,1.9,31.8,Resolved,
ARC-30135,2024-04-06T12:17:00,Performance,P3,VL-1160,Atlanta,3.0,28.3,Resolved,
ARC-30140,2024-04-06T14:20:00,Mobile,P3,VL-1019,New York,2.1,22.5,Resolved,
ARC-30124,2024-04-06T14:25:00,Access / SSO,P4,VL-1086,New York,1.6,44.3,Resolved,
ARC-30059,2024-04-06T14:45:00,How-to,P3,VL-1146,New York,3.0,44.8,Resolved,
ARC-30150,2024-04-06T14:49:00,Search,P3,VL-1009,New York,2.0,35.6,Resolved,
ARC-30127,2024-04-06T15:43:00,Outlook add-in,P3,VL-1170,New York,1.1,36.5,Resolved,
ARC-30129,2024-04-07T13:04:00,How-to,P3,VL-1204,"Washington, DC",1.2,48.6,Resolved,
ARC-30085,2024-04-07T18:08:00,How-to,P4,VL-1188,Dublin,0.8,43.2,Resolved,
ARC-30157,2024-04-08T08:44:00,Search,P3,VL-1178,Atlanta,1.2,34.7,Resolved,
ARC-30101,2024-04-08T12:05:00,Performance,P3,VL-1103,New York,2.2,25.5,Resolved,
ARC-30056,2024-04-08T13:24:00,Search,P2,VL-1040,New York,1.6,2.1,Resolved,
ARC-30083,2024-04-08T18:38:00,Search,P3,VL-1084,Los Angeles,2.0,48.0,Resolved,
ARC-30132,2024-04-08T18:58:00,Integration,P3,VL-1072,London,2.0,15.2,Resolved,
ARC-30058,2024-04-09T11:17:00,Integration,P3,VL-1117,"Washington, DC",2.3,33.5,Resolved,
ARC-30094,2024-04-09T13:45:00,Search,P3,VL-1039,Chicago,0.9,20.7,Resolved,
